check,error,passed,kind
lora_fold_forward[k_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[k_proj],6.245004513516506e-17,True,real_activation_fp64
lora_fold_gradB[k_proj],6.765421556309548e-17,True,real_activation_fp64
lora_fold_sgd[k_proj],6.245004513516506e-17,True,real_activation_fp64
lora_fold_forward[v_proj],8.881784197001252e-16,True,real_activation_fp64
lora_fold_gradA[v_proj],2.970713952610282e-17,True,real_activation_fp64
lora_fold_gradB[v_proj],2.1250362580715887e-17,True,real_activation_fp64
lora_fold_sgd[v_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[o_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[o_proj],2.905661822261152e-17,True,real_activation_fp64
lora_fold_gradB[o_proj],6.5052130349130266e-18,True,real_activation_fp64
lora_fold_sgd[o_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[gate_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[gate_proj],4.163336342344337e-16,True,real_activation_fp64
lora_fold_gradB[gate_proj],1.5178830414797062e-18,True,real_activation_fp64
lora_fold_sgd[gate_proj],6.938893903907228e-17,True,real_activation_fp64
lora_fold_forward[up_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[up_proj],7.112366251504909e-17,True,real_activation_fp64
lora_fold_gradB[up_proj],1.3010426069826053e-18,True,real_activation_fp64
lora_fold_sgd[up_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[down_proj],4.996003610813204e-16,True,real_activation_fp64
lora_fold_gradA[down_proj],1.9949319973733282e-17,True,real_activation_fp64
lora_fold_gradB[down_proj],7.806255641895632e-18,True,real_activation_fp64
lora_fold_sgd[down_proj],6.938893903907228e-17,True,real_activation_fp64
rmsnorm_core_equivariance,1.0658141036401503e-14,True,real_activation_fp64
rmsnorm_core_backward_equivariance,2.6645352591003757e-15,True,real_activation_fp64
swiglu_shared_perm,0.0,True,real_activation_fp64
swiglu_independent_perm_NEG,11.65001498351061,True,real_activation_neg
swiglu_dense_orth_NEG,4.076742759093037,True,real_activation_neg
rope_paired_qk_score_preserve,4.973799150320701e-14,True,real_activation_fp64
rope_dense_commute_NEG,6.513214930279025,True,real_activation_neg
lora_fold_forward[q_proj],1.4432899320127035e-15,True,real_activation_fp64
lora_fold_gradA[q_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_gradB[q_proj],7.806255641895632e-18,True,real_activation_fp64
lora_fold_sgd[q_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[k_proj],2.220446049250313e-15,True,real_activation_fp64
lora_fold_gradA[k_proj],4.2500725161431774e-17,True,real_activation_fp64
lora_fold_gradB[k_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_sgd[k_proj],3.469446951953614e-17,True,real_activation_fp64
lora_fold_forward[v_proj],8.881784197001252e-16,True,real_activation_fp64
lora_fold_gradA[v_proj],3.469446951953614e-17,True,real_activation_fp64
lora_fold_gradB[v_proj],2.862293735361732e-17,True,real_activation_fp64
lora_fold_sgd[v_proj],3.469446951953614e-17,True,real_activation_fp64
lora_fold_forward[o_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[o_proj],2.7755575615628914e-17,True,real_activation_fp64
lora_fold_gradB[o_proj],7.37257477290143e-18,True,real_activation_fp64
lora_fold_sgd[o_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_forward[gate_proj],1.5543122344752192e-15,True,real_activation_fp64
lora_fold_gradA[gate_proj],1.0824674490095276e-15,True,real_activation_fp64
lora_fold_gradB[gate_proj],2.927345865710862e-18,True,real_activation_fp64
lora_fold_sgd[gate_proj],1.1102230246251565e-16,True,real_activation_fp64
lora_fold_forward[up_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[up_proj],3.8163916471489756e-17,True,real_activation_fp64
lora_fold_gradB[up_proj],1.3010426069826053e-18,True,real_activation_fp64
lora_fold_sgd[up_proj],3.469446951953614e-17,True,real_activation_fp64
lora_fold_forward[down_proj],5.551115123125783e-16,True,real_activation_fp64
lora_fold_gradA[down_proj],6.5052130349130266e-18,True,real_activation_fp64
lora_fold_gradB[down_proj],3.577867169202165e-18,True,real_activation_fp64
lora_fold_sgd[down_proj],4.163336342344337e-17,True,real_activation_fp64
rmsnorm_core_equivariance,7.105427357601002e-15,True,real_activation_fp64
rmsnorm_core_backward_equivariance,8.881784197001252e-16,True,real_activation_fp64
swiglu_shared_perm,0.0,True,real_activation_fp64
swiglu_independent_perm_NEG,13.604693870741482,True,real_activation_neg
swiglu_dense_orth_NEG,5.253561796137866,True,real_activation_neg
rope_paired_qk_score_preserve,5.1514348342607263e-14,True,real_activation_fp64
rope_dense_commute_NEG,5.525292479756375,True,real_activation_neg
lora_fold_forward[q_proj],1.7763568394002505e-15,True,real_activation_fp64
lora_fold_gradA[q_proj],5.204170427930421e-17,True,real_activation_fp64
lora_fold_gradB[q_proj],1.1275702593849246e-17,True,real_activation_fp64
lora_fold_sgd[q_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_forward[k_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[k_proj],5.551115123125783e-17,True,real_activation_fp64
lora_fold_gradB[k_proj],6.938893903907228e-17,True,real_activation_fp64
lora_fold_sgd[k_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_forward[v_proj],8.881784197001252e-16,True,real_activation_fp64
lora_fold_gradA[v_proj],1.9081958235744878e-17,True,real_activation_fp64
lora_fold_gradB[v_proj],4.336808689942018e-17,True,real_activation_fp64
lora_fold_sgd[v_proj],4.163336342344337e-17,True,real_activation_fp64
lora_fold_forward[o_proj],1.3322676295501878e-15,True,real_activation_fp64
lora_fold_gradA[o_proj],7.28583859910259e-17,True,real_activation_fp64
