proj,layer,seed,optimizer,step,loss_plaintext,loss_O1A,loss_O1C,loss_absdiff_O1A,loss_absdiff_O1C,gradA_relation_err,O1A_A_update_relerr,O1A_B_update_relerr,O1C_A_update_relerr,O1C_B_update_relerr,O1A_dW_relerr,O1A_dW_cos,O1C_dW_relerr,O1C_dW_cos,O1A_optstate_relerr,O1C_optstate_relerr,T_in_orthogonal,T_out_orthogonal,A_gpu_adamw_safe,B_gpu_adamw_safe,O1C_A_in_tdx,O1C_B_in_tdx,nan_inf
q_proj,16,1234,adamw,1,1.5499759883024709,1.5499759883024709,1.5499759883024709,0.0,0.0,1.5546037515043794e-15,0.02950200857420545,0.025987358739632493,3.198135197196168e-16,1.6486916896798232e-16,0.040417486821792824,0.9991835436445542,3.625171329631542e-16,0.9999999999999892,0.8029107274740416,3.169886024798994e-16,False,True,False,False,True,True,False
q_proj,16,1234,adamw,10,1.3638469031203981,1.3879395686252198,1.3638469031203981,0.024092665504821698,0.0,0.3158261186525334,0.19106925555094323,0.15781450904692543,7.378914597404355e-16,7.855423421442463e-16,0.24107815374180458,0.9705601427022521,1.0738112850161527e-15,1.000000000000019,0.7748351059813736,6.763782998533445e-16,False,True,False,False,True,True,False
q_proj,16,1234,adamw,50,0.07129101479837759,0.09672313896369873,0.07129101479837766,0.025432124165321146,6.938893903907228e-17,0.8427558207856716,0.3849757295719916,0.31069404771121745,1.1725083867099999e-15,1.4805614575810597e-15,0.4246959503830298,0.9053827326102539,1.7016571660450794e-15,1.0000000000000084,1.8119397715239913,1.1954325010792636e-15,False,True,False,False,True,True,False
q_proj,17,1234,adamw,1,1.4708799450409362,1.470879945040936,1.470879945040936,2.220446049250313e-16,2.220446049250313e-16,1.4987201007408798e-15,0.020729733572766706,0.02853235649421056,3.931284997601446e-17,1.1849558045618982e-14,0.035151885602499836,0.9993820945389706,1.1737140586698784e-14,1.000000000000014,0.7002720971358112,3.1544302051239605e-17,False,True,False,False,True,True,False
q_proj,17,1234,adamw,10,1.2963559117172605,1.3192173956862658,1.2963559117172605,0.022861483969005336,0.0,0.28238772220475616,0.12905012228898655,0.1676640740531269,1.7094076764191037e-15,1.1257380072148749e-14,0.2054730725422408,0.9786714986050853,1.1397767632783761e-14,1.0000000000000044,0.7044511578151014,1.6439164217193481e-15,False,True,False,False,True,True,False
q_proj,17,1234,adamw,50,0.052758081888970944,0.09531093542580502,0.05275808188897096,0.04255285353683407,1.3877787807814457e-17,1.2067831740627948,0.2648871361344392,0.3537862910334004,2.6964378522402747e-15,5.2349320548480785e-15,0.35978544379602406,0.9330949459322672,4.760757355693548e-15,1.0000000000000004,1.9887305884313724,2.6462567339692e-15,False,True,False,False,True,True,False
q_proj,18,1234,adamw,1,1.3828669482237732,1.3828669482237734,1.3828669482237734,2.220446049250313e-16,2.220446049250313e-16,1.338547376137025e-15,0.021057383890572507,0.028120598730326865,1.9606475890776212e-17,2.25016055271735e-17,0.03701509781502656,0.9993147065917466,4.2448635359767144e-17,0.9999999999999856,0.785502260013417,1.7899544373434497e-17,False,True,False,False,True,True,False
q_proj,18,1234,adamw,10,1.2071251289470741,1.2278586596210739,1.2071251289470741,0.020733530673999745,0.0,0.27843469437111074,0.12923848165564492,0.16803683992045992,4.534580104911837e-16,6.405513722178598e-16,0.20603487150325175,0.9785536638184458,7.842906116559001e-16,1.0000000000000115,0.8799743617662366,4.458308366435989e-16,False,True,False,False,True,True,False
q_proj,18,1234,adamw,50,0.05993028719683577,0.0680119679869436,0.05993028719683579,0.008081680790107834,2.0816681711721685e-17,1.0397336452888246,0.2678827584491974,0.33326128581662906,1.0158675969616027e-15,1.2450422896675785e-15,0.3516087006662977,0.9362272929256907,1.4616321938215706e-15,0.9999999999999882,1.0614600021143963,1.0273529567513813e-15,False,True,False,False,True,True,False
q_proj,19,1234,adamw,1,1.4385125677052168,1.4385125677052168,1.4385125677052168,0.0,0.0,1.9246151892558255e-15,0.023342814885983765,0.028667513591001267,2.1340993434257938e-16,9.386625372947631e-17,0.03685769715515201,0.9993205574807147,2.2414804377371075e-16,1.000000000000004,0.8637614320844053,1.833765702482606e-16,False,True,False,False,True,True,False
q_proj,19,1234,adamw,10,1.2540977030288714,1.2630050074768377,1.2540977030288718,0.008907304447966391,4.440892098500626e-16,0.15407367145673345,0.15079178255845974,0.1609252584281173,7.846766491701615e-16,7.184730814102025e-16,0.2138771402898745,0.9768935930360652,1.0528447857984155e-15,0.9999999999999915,0.8517057586990364,7.513213888583104e-16,False,True,False,False,True,True,False
q_proj,19,1234,adamw,50,0.05868517873065434,0.05931272615570213,0.05868517873065429,0.0006275474250477878,4.85722573273506e-17,0.7470240106559566,0.3269443116755317,0.24635712171697427,1.2393112902826863e-15,1.5871322062461206e-15,0.36946580526227285,0.9306080903595659,1.805498335851071e-15,0.9999999999999994,0.9676902667101533,1.2410605595612127e-15,False,True,False,False,True,True,False
