model_id,status,batch_size,seq_len,use_pad,attention_mask_kind,q_max_abs_error,k_max_abs_error,v_max_abs_error,score_max_abs_error,prob_max_abs_error,attn_out_max_abs_error,output_max_abs_error,output_relative_l2_error,output_cosine_similarity,qk_constraint_error,allclose,q_pad,k_pad,v_pad,o_pad
hf-internal-testing/tiny-bert,loaded,2,4,True,all_ones,2.7418136596679688e-06,2.384185791015625e-06,4.5299530029296875e-06,3.337860107421875e-06,2.384185791015625e-07,2.073124051094055e-06,5.900859832763672e-06,1.2709888324025087e-06,1.0,3.5762786865234375e-07,True,True,True,True,True
hf-internal-testing/tiny-bert,loaded,2,4,True,padding,2.7418136596679688e-06,2.384185791015625e-06,4.5299530029296875e-06,3.337860107421875e-06,2.384185791015625e-07,2.073124051094055e-06,6.139278411865234e-06,1.2708838994512917e-06,1.0,3.5762786865234375e-07,True,True,True,True,True
hf-internal-testing/tiny-bert,loaded,2,4,False,all_ones,1.9073486328125e-06,1.5497207641601562e-06,2.682209014892578e-06,2.3543834686279297e-06,2.384185791015625e-07,2.6226043701171875e-06,3.337860107421875e-06,8.375676543437294e-07,1.0,3.5762786865234375e-07,True,False,False,False,False
hf-internal-testing/tiny-bert,loaded,2,4,False,padding,1.9073486328125e-06,1.5497207641601562e-06,2.682209014892578e-06,2.3543834686279297e-06,2.384185791015625e-07,2.6226043701171875e-06,3.337860107421875e-06,8.375676543437294e-07,1.0,3.5762786865234375e-07,True,False,False,False,False
hf-internal-testing/tiny-bert,loaded,2,8,True,all_ones,2.86102294921875e-06,2.7418136596679688e-06,4.0531158447265625e-06,2.9802322387695312e-06,5.662441253662109e-07,3.337860107421875e-06,4.291534423828125e-06,1.348446403426351e-06,0.9999999403953552,3.5762786865234375e-07,True,True,True,True,True
hf-internal-testing/tiny-bert,loaded,2,8,True,padding,2.86102294921875e-06,2.7418136596679688e-06,4.0531158447265625e-06,2.9802322387695312e-06,5.364418029785156e-07,3.159046173095703e-06,4.231929779052734e-06,1.3004749916945002e-06,1.0,3.5762786865234375e-07,True,True,True,True,True
hf-internal-testing/tiny-bert,loaded,2,8,False,all_ones,2.1457672119140625e-06,2.1457672119140625e-06,3.516674041748047e-06,2.384185791015625e-06,2.384185791015625e-07,2.86102294921875e-06,3.337860107421875e-06,9.244205330105615e-07,1.0,3.5762786865234375e-07,True,False,False,False,False
hf-internal-testing/tiny-bert,loaded,2,8,False,padding,2.1457672119140625e-06,2.1457672119140625e-06,3.516674041748047e-06,2.384185791015625e-06,2.8312206268310547e-07,2.6226043701171875e-06,3.814697265625e-06,9.253234907191654e-07,1.0,3.5762786865234375e-07,True,False,False,False,False
hf-internal-testing/tiny-bert,loaded,2,16,True,all_ones,3.516674041748047e-06,2.5033950805664062e-06,4.5299530029296875e-06,3.039836883544922e-06,5.364418029785156e-07,2.7418136596679688e-06,5.245208740234375e-06,1.648368652240606e-06,1.0,3.5762786865234375e-07,True,True,True,True,True
hf-internal-testing/tiny-bert,loaded,2,16,True,padding,3.516674041748047e-06,2.5033950805664062e-06,4.5299530029296875e-06,3.039836883544922e-06,4.76837158203125e-07,2.5033950805664062e-06,5.245208740234375e-06,1.4597114841308212e-06,0.999999463558197,3.5762786865234375e-07,True,True,True,True,True
hf-internal-testing/tiny-bert,loaded,2,16,False,all_ones,1.7881393432617188e-06,1.9073486328125e-06,3.814697265625e-06,3.0994415283203125e-06,7.748603820800781e-07,1.6093254089355469e-06,3.814697265625e-06,9.376390153192915e-07,1.0,3.5762786865234375e-07,True,False,False,False,False
hf-internal-testing/tiny-bert,loaded,2,16,False,padding,1.7881393432617188e-06,1.9073486328125e-06,3.814697265625e-06,3.0994415283203125e-06,6.556510925292969e-07,2.294778823852539e-06,3.5762786865234375e-06,8.999590477287711e-07,0.9999997019767761,3.5762786865234375e-07,True,False,False,False,False
