model_id,batch_size,seq_len,decode_steps,use_pad,full_output_max_err,score_max_err,prob_max_err,v_aggr_max_err,qk_constraint_error,prefill_output_max_err,prefill_cache_key_err,prefill_cache_value_err,decode_output_max_err,decode_cache_key_err,decode_cache_value_err,full_allclose,prefill_cache_allclose,decode_cache_append_allclose
sshleifer/tiny-gpt2,1,16,4,False,2.3283064365386963e-10,4.3655745685100555e-11,0.0,3.725290298461914e-09,0.0,5.820766091346741e-11,1.862645149230957e-09,3.725290298461914e-09,3.637978807091713e-11,1.862645149230957e-09,7.450580596923828e-09,True,True,True
sshleifer/tiny-gpt2,2,4,1,True,3.3178366720676422e-09,2.0372681319713593e-10,0.0,1.4901161193847656e-08,0.0,3.2014213502407074e-09,3.259629011154175e-09,7.450580596923828e-09,2.0954757928848267e-09,3.259629011154175e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,2,4,1,False,8.731149137020111e-11,8.731149137020111e-11,0.0,1.1175870895385742e-08,0.0,2.3283064365386963e-10,1.862645149230957e-09,1.1175870895385742e-08,1.7462298274040222e-10,1.862645149230957e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,2,4,2,True,3.3178366720676422e-09,2.0372681319713593e-10,0.0,1.4901161193847656e-08,0.0,3.2014213502407074e-09,3.259629011154175e-09,7.450580596923828e-09,2.873992599461417e-09,3.259629011154175e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,2,4,2,False,8.731149137020111e-11,8.731149137020111e-11,0.0,1.1175870895385742e-08,0.0,2.3283064365386963e-10,1.862645149230957e-09,1.1175870895385742e-08,1.7462298274040222e-10,1.862645149230957e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,2,4,4,True,3.3178366720676422e-09,2.0372681319713593e-10,0.0,1.4901161193847656e-08,0.0,3.2014213502407074e-09,3.259629011154175e-09,7.450580596923828e-09,5.558831617236137e-09,3.259629011154175e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,2,4,4,False,8.731149137020111e-11,8.731149137020111e-11,0.0,1.1175870895385742e-08,0.0,2.3283064365386963e-10,1.862645149230957e-09,1.1175870895385742e-08,1.7462298274040222e-10,1.862645149230957e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,2,8,1,True,5.675246939063072e-09,1.7462298274040222e-10,0.0,4.6566128730773926e-09,0.0,5.6461431086063385e-09,3.259629011154175e-09,1.1175870895385742e-08,2.3865140974521637e-09,3.259629011154175e-09,1.1175870895385742e-08,True,True,True
sshleifer/tiny-gpt2,2,8,1,False,2.6193447411060333e-10,4.3655745685100555e-11,0.0,3.725290298461914e-09,0.0,1.1641532182693481e-10,1.862645149230957e-09,3.725290298461914e-09,5.820766091346741e-11,1.862645149230957e-09,3.725290298461914e-09,True,True,True
sshleifer/tiny-gpt2,2,8,2,True,5.675246939063072e-09,1.7462298274040222e-10,0.0,4.6566128730773926e-09,0.0,5.6461431086063385e-09,3.259629011154175e-09,1.1175870895385742e-08,2.3865140974521637e-09,4.190951585769653e-09,4.0978193283081055e-08,True,True,True
sshleifer/tiny-gpt2,2,8,2,False,2.6193447411060333e-10,4.3655745685100555e-11,0.0,3.725290298461914e-09,0.0,1.1641532182693481e-10,1.862645149230957e-09,3.725290298461914e-09,5.820766091346741e-11,1.862645149230957e-09,3.725290298461914e-09,True,True,True
sshleifer/tiny-gpt2,2,8,4,True,5.675246939063072e-09,1.7462298274040222e-10,0.0,4.6566128730773926e-09,0.0,5.6461431086063385e-09,3.259629011154175e-09,1.1175870895385742e-08,4.560206434689462e-09,4.190951585769653e-09,4.0978193283081055e-08,True,True,True
sshleifer/tiny-gpt2,2,8,4,False,2.6193447411060333e-10,4.3655745685100555e-11,0.0,3.725290298461914e-09,0.0,1.1641532182693481e-10,1.862645149230957e-09,3.725290298461914e-09,5.820766091346741e-11,1.862645149230957e-09,7.450580596923828e-09,True,True,True
sshleifer/tiny-gpt2,2,16,1,True,7.872586138546467e-09,2.3283064365386963e-10,0.0,5.587935447692871e-09,0.0,7.799826562404633e-09,6.05359673500061e-09,1.1175870895385742e-08,1.3096723705530167e-09,6.05359673500061e-09,1.4901161193847656e-08,True,True,True
sshleifer/tiny-gpt2,2,16,1,False,8.731149137020111e-11,1.4551915228366852e-10,0.0,1.1175870895385742e-08,0.0,1.4551915228366852e-10,2.3283064365386963e-09,7.450580596923828e-09,2.9103830456733704e-11,2.3283064365386963e-09,7.450580596923828e-09,True,True,True
sshleifer/tiny-gpt2,2,16,2,True,7.872586138546467e-09,2.3283064365386963e-10,0.0,5.587935447692871e-09,0.0,7.799826562404633e-09,6.05359673500061e-09,1.1175870895385742e-08,2.975866664201021e-09,6.05359673500061e-09,1.4901161193847656e-08,True,True,True
sshleifer/tiny-gpt2,2,16,2,False,8.731149137020111e-11,1.4551915228366852e-10,0.0,1.1175870895385742e-08,0.0,1.4551915228366852e-10,2.3283064365386963e-09,7.450580596923828e-09,5.820766091346741e-11,2.3283064365386963e-09,7.450580596923828e-09,True,True,True
sshleifer/tiny-gpt2,2,16,4,True,7.872586138546467e-09,2.3283064365386963e-10,0.0,5.587935447692871e-09,0.0,7.799826562404633e-09,6.05359673500061e-09,1.1175870895385742e-08,3.4633558243513107e-09,6.05359673500061e-09,1.4901161193847656e-08,True,True,True
sshleifer/tiny-gpt2,2,16,4,False,8.731149137020111e-11,1.4551915228366852e-10,0.0,1.1175870895385742e-08,0.0,1.4551915228366852e-10,2.3283064365386963e-09,7.450580596923828e-09,5.820766091346741e-11,2.3283064365386963e-09,7.450580596923828e-09,True,True,True
