optimizer,step,group,metric,n,finite_n,nan_or_inf_fraction,max,median,p95,worst_layer
adamw,1,gate_up,loss_absdiff_O1C,144,144,0.0,6.661338147750939e-16,0.0,4.440892098500626e-16,6
adamw,10,o_down,O1A_A_update_relerr,144,144,0.0,2.0384409720615175e-13,1.2544142693671224e-15,6.358514060602562e-14,10
adamw,10,o_down,O1C_A_update_relerr,144,144,0.0,2.0384409720615175e-13,1.2544142693671224e-15,6.358514060602562e-14,10
adamw,10,o_down,O1A_B_update_relerr,144,144,0.0,1.225778671799246e-12,1.3793910330808185e-15,2.5738788083354246e-14,10
adamw,10,o_down,O1C_B_update_relerr,144,144,0.0,1.225778671799246e-12,1.3793910330808185e-15,2.5738788083354246e-14,10
adamw,10,o_down,O1A_dW_cos,144,144,0.0,1.0000000000000573,1.000000000000002,1.000000000000033,14
adamw,10,o_down,O1C_dW_cos,144,144,0.0,1.0000000000000573,1.000000000000002,1.000000000000033,14
adamw,10,o_down,O1A_optstate_relerr,144,144,0.0,6.797085260676144e-13,8.935344821433089e-15,6.304466111327889e-14,10
adamw,10,o_down,O1C_optstate_relerr,144,144,0.0,6.797085260676144e-13,8.935344821433089e-15,6.304466111327889e-14,10
adamw,10,o_down,loss_absdiff_O1C,144,144,0.0,1.687538997430238e-14,0.0,1.3322676295501878e-15,10
adamw,10,qkv,O1A_A_update_relerr,216,216,0.0,0.7756179860396482,0.19550895291331855,0.31044621397246724,0
adamw,10,qkv,O1C_A_update_relerr,216,216,0.0,7.283509106921451e-14,6.77828421167372e-16,8.1220234363101e-15,21
adamw,10,qkv,O1A_B_update_relerr,216,216,0.0,0.3120546230493378,0.148550145711708,0.17990375692509789,0
adamw,10,qkv,O1C_B_update_relerr,216,216,0.0,6.384569726672327e-14,6.868147288660729e-16,5.0376030732613836e-15,4
adamw,10,qkv,O1A_dW_cos,216,216,0.0,0.9930046236338737,0.9710871856351274,0.9872780390865616,7
adamw,10,qkv,O1C_dW_cos,216,216,0.0,1.0000000000000386,1.0,1.0000000000000124,10
adamw,10,qkv,O1A_optstate_relerr,216,216,0.0,146.96462685263793,1.0631793981284194,1.9282553281463293,0
adamw,10,qkv,O1C_optstate_relerr,216,216,0.0,5.893347987258577e-14,6.818541112543786e-16,1.2214988432654527e-14,1
adamw,10,qkv,loss_absdiff_O1C,216,216,0.0,8.881784197001252e-16,0.0,4.440892098500626e-16,0
adamw,10,gate_up,O1A_A_update_relerr,144,144,0.0,0.2883877804510132,0.13965788173952,0.2720414352729519,3
adamw,10,gate_up,O1C_A_update_relerr,144,144,0.0,7.035011287324073e-14,1.1172350218092865e-15,1.6170936321733952e-14,0
adamw,10,gate_up,O1A_B_update_relerr,144,144,0.0,0.39983919444151206,0.09530899631108374,0.39358439112330107,5
adamw,10,gate_up,O1C_B_update_relerr,144,144,0.0,1.5169779086514557e-14,3.098041513403014e-15,1.0387135451090948e-14,3
